Frame ID,QR id,QR 2D,QR 3D
216,1,"[[833. 480.], [833. 512.], [802. 510.], [801. 479.]]","[2.331150340422466, -5.432121614596213, 90.53745923842845, 9.288954064307257]"
217,1,"[[834. 481.], [833. 512.], [802. 510.], [802. 479.]]","[2.36513881001036, -5.412838443438176, 92.41861782363527, 5.0310988013435685]"
218,1,"[[834. 481.], [833. 512.], [802. 510.], [802. 479.]]","[2.36513881001036, -5.412838443438176, 92.41861782363527, 5.0310988013435685]"
219,1,"[[833. 480.], [834. 511.], [803. 511.], [801. 480.]]","[2.3667490673715985, -5.41278065973853, 88.70018284141979, 5.486569581637395]"
220,1,"[[834. 480.], [834. 511.], [802. 510.], [801. 479.]]","[2.3134608545404047, -5.4124717201538886, 91.04469476490367, 2.246421616946647]"
221,1,"[[834. 480.], [834. 511.], [802. 510.], [801. 479.]]","[2.3134608545404047, -5.4124717201538886, 91.04469476490367, 2.246421616946647]"
222,1,"[[834. 480.], [834. 511.], [802. 510.], [801. 479.]]","[2.3134608545404047, -5.4124717201538886, 91.04469476490367, 2.246421616946647]"
223,1,"[[834. 479.], [836. 512.], [802. 510.], [802. 479.]]","[2.257234397636394, -5.382069423651899, 86.81906202750852, -16.567035598173227]"
224,1,"[[834. 478.], [835. 511.], [802. 510.], [802. 479.]]","[2.344198109792261, -5.393016672278264, 88.88904971266498, -4.973324765087137]"
225,1,"[[834. 478.], [835. 511.], [803. 510.], [802. 479.]]","[2.32991451916307, -5.384548035732848, 89.15557399523044, 5.821446465959554]"
226,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
227,1,"[[834. 479.], [835. 510.], [802. 510.], [802. 479.]]","[2.3322403107082796, -5.392507771979012, 87.66940162985233, -8.027469351118615]"
228,1,"[[833. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3201894769827516, -5.385306166439136, 87.56181625622952, 13.522570723900264]"
229,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 478.]]","[2.331103843916047, -5.382169580625174, 87.12718897847202, -16.42850172475921]"
230,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 478.]]","[2.331103843916047, -5.382169580625174, 87.12718897847202, -16.42850172475921]"
231,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
232,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
233,1,"[[834. 479.], [835. 510.], [802. 510.], [802. 479.]]","[2.3322403107082796, -5.392507771979012, 87.66940162985233, -8.027469351118615]"
234,1,"[[834. 479.], [835. 510.], [802. 510.], [802. 479.]]","[2.3322403107082796, -5.392507771979012, 87.66940162985233, -8.027469351118615]"
235,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
236,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
237,1,"[[834. 479.], [835. 511.], [804. 511.], [802. 479.]]","[2.3262226189502595, -5.375523756803005, 88.36914385125728, 9.829417077349067]"
238,1,"[[835. 480.], [835. 511.], [804. 511.], [802. 479.]]","[2.330143525343223, -5.365572266855281, 89.6649828675871, 5.108986223000211]"
239,1,"[[835. 480.], [834. 511.], [803. 510.], [802. 478.]]","[2.3295374698863838, -5.384475253927775, 91.50151774057235, 4.868985617248644]"
240,1,"[[834. 480.], [834. 511.], [803. 510.], [802. 479.]]","[2.367050671282085, -5.393924373399045, 90.55716047321258, 5.268312153970696]"
241,1,"[[834. 480.], [834. 512.], [803. 510.], [802. 479.]]","[2.330862141839793, -5.394367501232523, 90.52833970802438, 9.319958909937444]"
242,1,"[[834. 480.], [834. 511.], [803. 510.], [802. 479.]]","[2.367050671282085, -5.393924373399045, 90.55716047321258, 5.268312153970696]"
243,1,"[[834. 480.], [835. 512.], [803. 509.], [802. 479.]]","[2.2926940166538956, -5.384914120028583, 90.22750259747353, 9.770026580867391]"
244,1,"[[834. 480.], [834. 511.], [803. 510.], [802. 479.]]","[2.367050671282085, -5.393924373399045, 90.55716047321258, 5.268312153970696]"
245,1,"[[834. 480.], [834. 511.], [803. 510.], [802. 479.]]","[2.367050671282085, -5.393924373399045, 90.55716047321258, 5.268312153970696]"
246,1,"[[835. 480.], [834. 512.], [803. 510.], [802. 479.]]","[2.328193582624456, -5.3845237001800115, 91.44663527592603, 5.281709113267101]"
